Player Name,Team,rush_att,rush_yds,rush_tds,rec_att,rec_yds,rec_tds,fumbles,fpts 
Lance Dunbar,DAL,67.2,281.1,1.5,14,92,0.5,0.8,48
Ryan Williams,ARI,59.4,298.8,1.5,9.9,83.5,0.3,0.7,47.4
Zac Stacy,STL,69,286.7,2.1,7.9,60.6,0.2,0.5,47.2
LeGarrette Blount,NE,69.7,298,2.7,3.8,19.5,0,0.6,46.5
Jonathan Dwyer,FA,68.9,300.3,1.6,5.2,45.4,0,0.9,42.7
Mike James,TB,59.5,249.2,1.6,7.9,57.2,0.2,0.5,40.7
Donald Brown,IND,61,258.2,0.9,10.3,82.9,0.2,0.2,40.1
Dion Lewis,CLE,33.3,152.9,0.9,15.6,128,0.9,0,38.9
Stepfan Taylor,ARI,69.2,263,1.3,7.8,51.4,0,0.7,38.4
Justin Forsett,JAC,57.1,239.8,0.7,12,81.1,0.3,0.2,38
Mike Gillislee,MIA,52.2,231,1,12.1,85.6,0.2,0.5,37.6
James Starks,GB,52.6,227.4,1.5,6.5,41.3,0.2,0,37
Brandon Jackson,FA,43.6,187.5,0.7,12.2,101.6,0.7,0.1,37
John Kuhn,GB,31,92.4,1.7,16.2,103.4,1.1,0.3,35.9
Felix Jones,PIT,42.6,201.9,0.9,7.6,76.6,0.4,0,35.2
Charles Clay,MIA,1,4,0,31,286,1,0,35
Jordan Todman,JAC,50.6,224.7,1.3,6.7,52.2,0.2,0.7,34.9
Ronnie Brown,SD,40.5,174.2,0.4,17.6,148.8,0.1,0.5,34
Chris Polk,PHI,51.6,231.8,1.1,7.1,49,0,0.5,34
Jason Snelling,ATL,24,118.7,0.6,19.7,144.6,0.8,0.5,33.7
Fozzy Whittaker,SD,49.3,219.6,0.9,4.4,32,0,0,30.6
Andre Ellington,ARI,32.2,160.9,0.5,11.6,84.1,0.4,0.1,29.7
Evan Royster,WAS,33.5,146,0.8,8.8,69.4,0.4,0,28.7
Kenjon Barner,CAR,41.2,193.5,0.8,6.4,48.5,0,0.3,28.2
Phillip Tanner,DAL,44.1,175.3,0.8,5.2,45.5,0,0.1,26.7
Jamie Harper,FA,0,120,1,0,44,1,1,26.4
Chris Ogbonnaya,CLE,30.4,129.9,0.3,13.3,115.5,0.2,0.8,26.3
Brian Leonard,TB,30.6,124.6,0.4,16.5,103.7,0,0,25.5
Peyton Hillis,TB,28.3,151.7,1,5.1,38.8,0,0,25.2
Alfonso Smith,ARI,41.6,176.4,0.6,4.4,31.9,0,0.2,24.5
Vonta Leach,BAL,8.5,25.6,1,15.7,117.1,0.2,0,21.5
Brandon Bolden,NE,32.4,146.5,1,1,7.7,0,0,21.4
William Powell,FA,22,88,0,16,122,0,0,21
Armando Allen,FA,34.2,139.1,0.3,5.9,49.3,0,0.1,20.8
Benny Cunningham,STL,33.6,134,0.6,4.2,30.8,0.1,0.2,20.3
Joe McKnight,FA,14,113,0,12,95.6,0,0.6,19.7
Cedric Peerman,CIN,25.1,118.6,0.4,4.4,34.3,0.3,0.1,19.1
Cierre Wood,HOU,27.8,124.7,0.7,3.7,24.7,0,0,18.9
Leon Washington,FA,22.2,103.9,0.5,7.9,61.1,0,0.3,18.9
Will Johnson,PIT,4.9,18.2,0.4,10.2,88,0.9,0,18.6
Shaun Draughn,FA,26.6,137,0.4,4.6,34.4,0,0.7,18.3
Da'Rel Scott,NYG,29.7,122.4,0.5,3.6,27.9,0,0.1,18.1
Taiwan Jones,OAK,0,155,0,0,17,0,0,17.2
Anthony Dixon,SF,20.8,78.7,1.4,1.5,9.3,0,0,17.1
Bernard Scott,CIN,21.4,102.2,0.3,8.1,52.1,0.3,0.8,16.9
Michael Cox,NYG,26.1,103,0.8,2.7,15,0,0,16.5
Dennis Johnson,CLE,27.4,110.3,1,0,0,0,0.4,16.2
Delone Carter,FA,16.9,71.3,1.1,3,20,0.1,0.2,16
Jacob Hester,FA,18.7,63.8,0.3,8.4,55.6,0.3,0,15.8
Montell Owens,DET,17.3,89.4,0.3,7.1,34.3,0.3,0.3,15.6
Tashard Choice,BUF,30.4,115.8,0.3,4.2,28.9,0,0.6,15.1
Montario Hardesty,CLE,33.8,119.1,0,3.6,30.7,0,0,15
Jed Collins,NO,2,4.7,0.5,9,44.3,1.1,0,14.5
Orson Charles,CIN,1.3,4,0,9.3,112.4,0.4,0,14.2
Cyrus Gray,KC,16.6,83.3,0.5,2.7,20.3,0,0,13.5
Darrel Young,WAS,12.9,54.7,0.4,4.9,44,0,0,12.5
Le'Ron McClain,SD,17.6,48,0.5,7.6,48.9,0,0,12.4
Jorvorski Lane,FA,13.8,23.1,1.3,0.9,3.1,0.4,0.4,12.4
Alex Green,NYJ,19,72.2,0.3,3.2,24.7,0.2,0.2,12.1
Kahlil Bell,FA,14.1,53.1,0.6,4.6,32,0.1,0.1,12
Mike Cox,FA,20.7,59.6,0.4,4,28,0,0,11.4
Kerwynn Williams,FA,17.5,79.5,0.3,1.3,11.2,0,0.1,11
Michael Robinson,FA,7.3,26.8,0,7.2,62,0.3,0,10.8
Michael Ford,CHI,15.5,68.5,0.5,1,7,0,0,10.6
Jackie Battle,TEN,16.1,68,0.5,1,7.3,0,0,10.4
Rex Burkhead,CIN,15.8,61.1,0.6,1,5.5,0,0,10.4
Chris Thompson,WAS,14.6,66.6,0.3,2.7,17.6,0,0,10.3
Shaun Chapas,DET,0,0,0,0,100,0,0,10
Jeremy Stewart,OAK,14.1,59,0.1,4.3,34,0,0.1,9.9
Evan Rodriguez,MIA,4,16.4,0,7.6,81.8,0,0,9.8
Travaris Cadet,NO,10,39.6,0.2,4.6,38.3,0.1,0.1,9.5
Henry Hynoski,NYG,5,17.9,0.3,7.7,40.4,0.3,0,8.9
Stanley Havili,IND,4,12.3,0.4,6.7,43.7,0,0,8.2
Deji Karim,FA,9.4,36.7,0.3,2.9,22.8,0.1,0.3,8.1
Miguel Maysonet,FA,14.8,57,0.4,0,0,0,0.2,7.9
Jerome Felton,MIN,7,19.5,0.3,5.7,41.5,0,0,7.7
Matthew Tucker,FA,13.1,50.9,0.5,0,0,0,0.2,7.5
Darius Reynaud,TEN,3.7,15.4,0.1,4.8,45.2,0.1,0.1,6.6
Bruce Miller,SF,4.4,12.7,0,8,53.3,0,0,6.6
Harvey Unga,FA,12.1,47.1,0.4,0,0,0,0.2,6.5
Tristan Davis,FA,10,43.4,0,2,18,0,0,6.1
Ryan D'Imperio,FA,4,14,0,5.4,46.7,0,0,6.1
Chris Pressley,CIN,4.9,14.3,0.3,2.7,25,0,0,5.9
