PlayerName,Team,rec_att,rec_yds,rec_tds,fumbles,fpts
Mike McNeill,CAR,3,39.8,0,0,4
Michael Palmer,PIT,4,35.5,0,0,3.6
Andrew Szczerba,ATL,3,32.3,0,0,3.2
Brandon Barden,JAC,2.3,30.8,0,0,3.1
D.J. Williams,NE,2.5,28,0,0,2.8
MarQueis Gray,CLE,3.5,27.5,0,0,2.8
Emil Igwenagu,PHI,3,24.8,0,0,2.5
Richard Gordon,KC,2.3,23.3,0,0,2.3
Ted Bolser,WAS,2.3,12,0,0,1.2
Richie Brockel,CAR,2.3,10.5,0,0,1.1
Brad Smelley,HOU,1.5,9,0,0,0.9
Brandon Williams,ARI,1.5,9,0,0,0.9
